index,velocity,filtered
921,1,19231,0
922,1,059669,0
923,1,119414,0
924,0,960118,0
925,1,122619,0
926,0,8748593,0
927,1,070314,0
928,0,9519324,0
929,1,045004,0
930,0,9945806,0
931,1,311257,0
932,1,122758,0
933,1,960332,0
934,1,672849,0
935,2,551186,0
936,2,177088,0
937,3,335051,0
938,2,844442,0
939,4,370592,0
940,3,901169,0
941,5,12825,0
942,4,881783,0
943,4,52371,0
944,3,874376,0
945,4,213316,0
946,3,527077,0
947,6,140821,0
948,5,062983,0
949,5,25941,0
950,4,772718,0
951,5,424536,0
952,4,722702,0
953,4,708784,0
954,4,439044,0
955,4,156341,0
956,3,721282,0
957,3,45492,0
958,2,985482,0
959,2,637018,0
960,2,402559,0
961,1,831734,0
962,1,595918,0
963,1,206308,0
964,0,8947434,0
965,0,4890369,0
966,0,3518422,0
967,0,5017705,0
968,0,5118645,0
969,1,441098,0
970,1,257074,0
971,2,440448,0
972,2,018322,0
973,2,935018,0
974,2,612988,0
975,3,457732,0
976,2,764205,0
977,3,839128,0
978,3,000455,0
979,3,971532,0
980,3,207344,0
981,4,066905,0
982,3,230448,0
983,3,882317,0
984,3,118518,0
985,3,65178,0
986,3,416088,0
987,3,549013,0
988,3,070343,0
989,3,360693,0
990,2,91132,0
991,2,990395,0
992,2,790185,0
993,2,718612,0
994,2,622012,0
995,2,31672,0
996,2,267559,0
997,1,945371,0
998,1,938217,0
999,1,829956,0
1000,1,595593,0
1001,1,604298,0
1002,1,460559,0
1003,1,283713,0
1004,1,21714,0
1005,1,087262,0
1006,1,007493,0
1007,0,9735244,0
1008,0,8347062,0
1009,0,8582469,0
1010,0,7556933,0
1011,0,7052928,0
1012,0,6057922,0
1013,0,7096343,0
1014,0,5370792,0
1015,0,5394564,0
1016,0,448143,0
1017,0,4572649,0
1018,0,3685129,0
1019,0,3121395,0
1020,0,2449557,0
1021,0,2413282,0
1022,0,2299929,0
1023,0,211617,0
1024,0,21657,0
1025,0,2277361,0
1026,0,2110655,0
1027,0,3027697,0
1028,0,2569143,0
1029,0,3351714,0
1030,0,2755011,0
1031,0,3802906,0
1032,0,2716198,0
1033,0,3944169,0
1034,0,2900845,0
1035,0,2411065,0
1036,0,3867982,0
1037,0,4036396,0
1038,0,3401906,0
1039,0,3061158,0
1040,0,2652554,0
1041,0,2483315,0
1042,0,2628015,0
1043,0,3312678,0
1044,0,2800482,0
1045,0,3112795,0
1046,0,2675064,0
1047,0,2377429,0
1048,0,331785,0
1049,0,2823175,0
1050,0,3361044,0
1051,0,4263254,0
1052,0,3253269,0
1053,0,3096606,0
1054,0,3271583,0
1055,0,3114892,0
1056,0,2903113,0
1057,0,2934079,0
1058,0,2294239,0
1059,0,203562,0
1060,0,2704132,0
1061,0,2349211,0
1062,0,3535415,0
1063,0,3095224,0
1064,0,3260893,0
1065,0,2742247,0
1066,0,447192,0
1067,0,3633877,0
1068,0,381616,0
1069,0,2841436,0
1070,0,2494442,0
1071,0,2183714,0
1072,0,2695377,0
1073,0,2266994,0
1074,0,2537011,0
1075,0,1976496,0
1076,0,1858902,0
1077,0,1486463,0
1078,0,1903611,0
1079,0,1831123,0
1080,0,1456088,0
1081,0,1347755,0
1082,0,1751204,0
1083,0,1544069,0
1084,0,3143623,0
1085,0,2579345,0
1086,0,5088537,0
1087,0,4777097,0
1088,0,7056655,0
1089,0,6642761,0
1090,0,6646892,0
1091,0,5988397,0
1092,0,8102087,0
1093,0,6687888,0
1094,0,9955143,0
1095,0,7827628,0
1096,1,009446,0
1097,0,7724158,0
1098,1,317641,0
1099,1,022105,0
1100,1,368431,0
1101,1,08926,0
1102,1,406599,0
1103,1,070268,0
1104,1,657996,0
1105,1,190615,0
1106,1,559329,0
1107,1,159399,0
1108,1,392744,0
1109,1,148677,0
1110,1,412446,0
1111,1,243307,0
1112,1,679928,0
1113,1,448316,0
1114,1,803544,0
1115,1,518501,0
1116,1,685884,0
1117,1,421684,0
1118,1,497537,0
1119,1,235363,0
1120,1,328337,0
1121,1,088758,0
1122,1,114274,0
1123,1,02026,0
1124,0,8804418,0
1125,0,8473715,0
